	797, 216,  0, 54, 54,
    798, 217,  0, 54, 54,
    839, 226,  1, 55, 53,
    841, 227,  2, 55, 53,
    846, 228,  3, 56, 52,
    847, 228,  3, 56, 52,
    850, 230,  4, 56, 52,
    853, 230,  5, 57, 51,
    860, 233,  6, 57, 51,
    862, 233,  6, 57, 50,
    866, 234,  7, 58, 50,
    865, 233,  8, 58, 49,
    867, 234,  9, 58, 49,
    872, 236, 10, 58, 48,
    881, 239, 10, 59, 48,
    890, 242, 11, 59, 47,
    897, 245, 12, 59, 47,
    903, 246, 13, 59, 46,
    905, 247, 13, 60, 46,
    915, 250, 14, 60, 45,
    921, 252, 15, 60, 45,
    928, 255, 16, 60, 44,
    930, 256, 16, 60, 44,
    939, 261, 17, 61, 43,
    942, 260, 18, 61, 43,
    952, 264, 19, 61, 42,
    957, 268, 19, 61, 41,
    961, 268, 20, 61, 41,
    969, 273, 21, 61, 40,
    968, 274, 21, 62, 40,
    979, 277, 22, 62, 39,
    986, 282, 23, 62, 38,
    990, 284, 24, 62, 38,
    991, 287, 24, 62, 37,
    990, 288, 25, 62, 37,
    990, 292, 26, 62, 36,
    991, 296, 26, 62, 35,
    991, 297, 27, 62, 35,
    990, 304, 28, 62, 34,
    991, 308, 29, 62, 33,
    990, 308, 29, 62, 33,
    991, 315, 30, 62, 32,
    991, 320, 31, 62, 31,
    991, 322, 31, 62, 31,
    991, 327, 32, 62, 30,
    990, 334, 33, 62, 29,
    990, 334, 33, 62, 29,
    990, 334, 34, 62, 28,
    990, 345, 35, 62, 27,
    990, 345, 35, 62, 27,
    990, 352, 36, 62, 26,
    989, 355, 36, 62, 25,
    990, 360, 37, 62, 25,
    991, 368, 38, 62, 24,
    989, 370, 38, 62, 23,
    990, 379, 39, 62, 22,
    990, 379, 39, 62, 22,
    990, 387, 40, 62, 21,
    991, 396, 41, 61, 20,
    990, 396, 41, 61, 20,
    991, 403, 42, 61, 19,
    990, 408, 42, 61, 18,
    990, 416, 43, 61, 17,
    991, 417, 43, 61, 17,
    991, 424, 44, 60, 16,
    990, 432, 45, 60, 15,
    990, 438, 45, 60, 14,
    990, 441, 46, 60, 14,
    990, 448, 46, 59, 13,
    990, 455, 47, 59, 12,
    990, 460, 47, 59, 11,
    990, 464, 48, 59, 11,
    991, 471, 48, 58, 10,
    990, 480, 49, 58,  9,
    990, 483, 49, 58,  8,
    991, 491, 50, 58,  7,
    991, 494, 50, 57,  7,
    990, 500, 51, 57,  6,
    991, 506, 51, 57,  5,
    990, 513, 51, 56,  4,
    991, 517, 52, 56,  4,
    990, 522, 52, 56,  3,
    990, 531, 53, 55,  2,
    990, 534, 53, 55,  1,
    990, 536, 54, 55,  1,
    990, 575, 54, 54,  0,
    990, 574, 54, 54,  0,
    991, 588, 55, 53,  -1,
    991, 591, 55, 53,  -2,
    989, 591, 55, 53,  -2,
    991, 594, 56, 52,  -3,
    990, 600, 56, 52,  -4,
    990, 608, 56, 51,  -5,
    991, 615, 57, 51,  -5,
    992, 624, 57, 50,  -6,
    990, 629, 57, 50,  -7,
    990, 639, 58, 49,  -8,
    990, 639, 58, 49,  -8,
    990, 644, 58, 49,  -9,
    989, 653, 59, 48, -10,
    990, 658, 59, 48, -11,
    990, 665, 59, 47, -12,
